id_venta,id_pedido,fecha_registro_cliente,canal_venta,categoria_producto,producto,cantidad,precio_unitario,subtotal_linea,tipo_pedido,con_reservacion,id_mesa,ubicacion_mesa,tipo_mesa,fecha_reservacion,estado_reservacion,fecha_pedido,hora_pedido,estado_pedido,metodo_pago,estado_pago,subtotal_pedido,impuestos,total_pedido,tiempo_entrega_min,calificacion_servicio,tipo_cliente,origen_ecommerce,cliente_id_anon
1018,1415,2026-06-06,página web,café frío,café helado,1,47.78,47.78,para llevar,false,,nan,nan,nan,nan,2026-06-08,16:15:00,entregao,pago en línea,pagado,126.84,20.29,147.13,31.0,5.0,vip,True,b4944c6ff08d
991,1402,2025-06-05,presencial (mostrador),café caliente,latte,1,,54.45,para llevar,false,,nan,nan,nan,nan,2025-07-31,17:40:00,entregado,tarjeta,pagado,288.31,46.13,334.44,27.0,4.0,frecuente,False,a4e00d7e6aa8
765,1314,2025-12-04,página web,bebidas caliente,infusión de manzanilla,1,42.38,42.38,para llevar,false,,nan,nan,nan,nan,2026-01-27,13:40:00,entregado,pago en línea,pagado,148.34,23.73,172.07,9.0,5.0,frecuente,True,01d54579da44
1986,1801,2025-03-01,presencial mostrador,café frío,cold brew,3,58.38,175.14,en el lugar,false,19.0,zona de estudio,individual,nan,nan,2026-01-04,10:30:00,entregado,tarjeta,pagado,282.21,45.15,327.36,9.0,4.0,vip,False,2fca346db656
1273,1515,2025-03-01,presencial (mesero),bebidas frías,té helado,1,-38.98,38.98,para llevar,false,,nan,nan,nan,nan,2025-05-20,18:15:00,entregado,tarjeta,pagado,225.38,36.06,261.44,22.0,4.0,vip,False,e29c9c180c62
3101,2246,2025-05-06,presencial (mesero),repostería,,3,51.45,154.35,en el lugar,false,11.0,terraza,individual,nan,nan,2025-05-26,19:45:00,entregado,tarjeta,pagado,347.71,55.63,403.34,23.0,4.0,vip,False,79bf08685d31
1238,1502,2025-03-25,página web,repostería,pay de queso,3,47.32,141.96,para llevar,false,,nan,nan,nan,nan,2026-02-02,16:50:00,entregado,pago en línea,pagado,310.83,49.73,360.56,24.0,5.0,frecuente,True,0f8ef3377b30
2207,1891,2026-04-21,página web,repostería,croissant,2,27.77,55.54,en el lugar,false,9.0,barra,pareja,nan,nan,2026-05-16,12:15:00,en preparación,nan,pagado,301.73,48.28,350.01,15,6.0,recurrente,True,a0eaec5a55dc
355,1148,2026-07-20,página web,café frío,café helado,1,57.65,57.65,para llevar,false,,nan,nan,nan,nan,2026-08-19,15:00:00,entregado,nan,pagado,262.69,42.03,304.72,500.0,5.0,frecuente,True,4a44dc153642
403,1167,2026-01-28,presencial (mesero),repostería,pay de queso,3,51.81,155.43,en el lugar,false,17.0,barra,pareja,nan,nan,07-01-2026,15:00:00,en preparación,transferencia,pagado,463.55,74.17,537.72,15,,frecuente,False,2397346b4582
